day,date,phase,strikes,retal,strikes_civfac,strikes_milfac,health_insults,hssi,hssi_pct,facil_damage_bench,facil_damage_pct,iran_civ,iran_mil,us_mil,leb_all,isr_mil,killed_total,cum_iran_daily,cum_leb_daily,snap_iranian_killed,snap_lebanese_killed,snap_displaced,snap_children_killed,conf_high_share,strike_day,kinetic_day
34,2026-04-02,Major Combat,8,8,3,4,2,10,47.61904761904762,249.5,80.74433656957929,12,55,0,22,0,89,2819,1438,7800.0,1200.0,4400000.0,362.0,0.5652173913043478,1,1
35,2026-04-03,Major Combat,1,6,0,1,0,10,47.61904761904762,261.0,84.46601941747574,8,45,0,20,0,73,2872,1458,8000.0,1318.0,4400000.0,365.0,0.5833333333333334,1,1
36,2026-04-04,Major Combat,3,6,1,2,0,10,47.61904761904762,272.5,88.18770226537217,10,48,0,18,0,76,2930,1476,8200.0,1345.0,4300000.0,365.0,0.5714285714285714,1,1
37,2026-04-05,Major Combat,6,7,3,2,1,11,52.38095238095238,284.0,91.90938511326861,12,50,0,18,1,81,2992,1494,8500.0,1345.0,7200000.0,370.0,0.6842105263157895,1,1
38,2026-04-06,Major Combat,0,3,0,0,0,11,52.38095238095238,295.5,95.63106796116504,8,45,0,15,0,68,3045,1509,8700.0,1200.0,7200000.0,370.0,0.375,0,1
39,2026-04-07,Major Combat,13,9,5,4,0,11,52.38095238095238,307.0,99.35275080906149,22,55,0,18,0,95,3122,1527,9000.0,1497.0,7500000.0,376.0,0.65625,1,1
40,2026-04-08,Major Combat,1,1,0,0,0,11,52.38095238095238,307.01526717557255,99.35769164258011,1,2,0,254,0,257,3125,1781,9100.0,1751.0,7500000.0,376.0,0.2857142857142857,1,1
41,2026-04-09,First Ceasefire,0,3,0,0,0,11,52.38095238095238,307.03053435114504,99.36263247609871,0,0,0,3,0,3,3125,1784,9100.0,1754.0,7500000.0,376.0,0.375,0,1
42,2026-04-10,First Ceasefire,0,1,0,0,0,11,52.38095238095238,307.0458015267176,99.36757330961734,0,0,0,45,0,45,3125,1829,9100.0,1888.0,7500000.0,376.0,0.16666666666666666,0,1
43,2026-04-11,First Ceasefire,0,2,0,0,0,11,52.38095238095238,307.0610687022901,99.37251414313594,0,0,0,14,0,14,3125,1843,9100.0,1953.0,7500000.0,376.0,0.2857142857142857,0,1
44,2026-04-12,First Ceasefire,0,2,0,0,0,11,52.38095238095238,307.0763358778626,99.37745497665458,0,0,0,67,0,67,3125,1910,9100.0,2020.0,7800000.0,376.0,0.2857142857142857,0,1
45,2026-04-13,First Ceasefire,0,2,0,0,2,13,61.904761904761905,307.0916030534351,99.38239581017316,0,0,0,35,0,35,3125,1945,9100.0,2055.0,7800000.0,376.0,0.2857142857142857,0,1
46,2026-04-14,First Ceasefire,0,2,0,0,1,14,66.66666666666667,307.10687022900765,99.3873366436918,0,0,0,34,0,34,3125,1979,9100.0,2089.0,7800000.0,376.0,0.2857142857142857,0,1
47,2026-04-15,First Ceasefire,0,2,0,0,0,14,66.66666666666667,307.12213740458014,99.3922774772104,0,0,0,43,1,44,3125,2022,9100.0,2132.0,7800000.0,376.0,0.2857142857142857,0,1
48,2026-04-16,First Ceasefire,1,3,0,0,0,14,66.66666666666667,307.1374045801527,99.39721831072903,0,0,0,35,0,35,3125,2057,9100.0,2167.0,7800000.0,380.0,0.4444444444444444,1,1
49,2026-04-17,First Ceasefire,0,2,0,0,0,14,66.66666666666667,307.1526717557252,99.40215914424763,0,0,0,15,0,15,3125,2072,9100.0,2196.0,7800000.0,380.0,0.2857142857142857,0,1
50,2026-04-18,First Ceasefire,0,2,0,0,0,14,66.66666666666667,307.1679389312977,99.40709997776625,0,0,0,2,0,2,3125,2074,9100.0,2294.0,7800000.0,380.0,0.2857142857142857,0,1
51,2026-04-19,First Ceasefire,0,1,0,0,1,15,71.42857142857143,307.1832061068702,99.41204081128485,0,0,0,35,0,35,3125,2109,9100.0,2295.0,7800000.0,380.0,0.16666666666666666,0,1
52,2026-04-20,First Ceasefire,0,1,0,0,0,15,71.42857142857143,307.19847328244276,99.41698164480349,0,0,0,8,0,8,3125,2117,9100.0,2329.0,7800000.0,380.0,0.16666666666666666,0,1
53,2026-04-21,First Ceasefire,0,0,0,0,0,15,71.42857142857143,307.21374045801525,99.42192247832209,0,0,0,0,0,0,3125,2117,9226.0,2387.0,7800000.0,566.0,0.0,0,0
54,2026-04-22,First Ceasefire,0,2,0,0,0,15,71.42857142857143,307.2290076335878,99.4268633118407,0,0,0,5,0,5,3125,2122,9226.0,2454.0,7800000.0,566.0,0.2857142857142857,0,1
55,2026-04-23,First Ceasefire,0,3,0,0,1,16,76.19047619047619,307.2442748091603,99.43180414535931,0,0,0,4,0,4,3125,2126,9226.0,2294.0,7800000.0,566.0,0.375,0,1
56,2026-04-24,First Ceasefire,1,5,0,0,0,16,76.19047619047619,307.25954198473283,99.43674497887794,0,0,0,6,0,6,3125,2132,9226.0,2491.0,7800000.0,566.0,0.45454545454545453,1,1
57,2026-04-25,First Ceasefire,0,7,0,0,0,16,76.19047619047619,307.2748091603053,99.44168581239656,0,0,0,4,0,4,3125,2136,3375.0,2495.0,3200000.0,207.0,0.5833333333333334,0,1
58,2026-04-26,First Ceasefire,0,6,0,0,0,16,76.19047619047619,307.29007633587787,99.44662664591516,0,0,0,6,1,7,3125,2142,3375.0,2502.0,3200000.0,207.0,0.45454545454545453,0,1
59,2026-04-27,First Ceasefire,0,4,0,0,0,16,76.19047619047619,307.30534351145036,99.45156747943378,0,0,0,14,1,15,3125,2156,3375.0,2521.0,3200000.0,207.0,0.4444444444444444,0,1
60,2026-04-28,First Ceasefire,0,3,0,0,0,16,76.19047619047619,307.3206106870229,99.4565083129524,0,0,0,0,0,0,3125,2156,3375.0,2509.0,3200000.0,207.0,0.375,0,1
61,2026-04-29,First Ceasefire,0,2,0,0,0,16,76.19047619047619,307.3358778625954,99.46144914647101,0,0,0,0,0,0,3125,2156,3375.0,2509.0,3200000.0,207.0,0.2857142857142857,0,1
62,2026-04-30,First Ceasefire,0,4,0,0,1,17,80.95238095238095,307.35114503816794,99.46638997998963,0,0,0,9,0,9,3125,2165,3375.0,2518.0,3200000.0,207.0,0.4444444444444444,0,1
63,2026-05-01,First Ceasefire,0,0,0,0,0,17,80.95238095238095,307.36641221374043,99.47133081350823,0,0,0,0,0,0,3125,2165,3375.0,2534.0,3200000.0,553.0,0.0,0,0
64,2026-05-02,First Ceasefire,0,1,0,0,0,17,80.95238095238095,307.381679389313,99.47627164702686,0,0,0,6,0,6,3125,2171,3468.0,2618.0,3200000.0,553.0,0.16666666666666666,0,1
65,2026-05-03,First Ceasefire,0,3,0,0,0,17,80.95238095238095,307.39694656488547,99.48121248054547,0,0,0,0,0,0,3125,2171,3468.0,2659.0,4200000.0,558.0,0.375,0,1
66,2026-05-04,First Ceasefire,1,6,0,1,0,17,80.95238095238095,307.412213740458,99.48615331406408,0,0,0,37,0,37,3125,2208,3636.0,2696.0,4850000.0,583.0,0.4166666666666667,1,1
67,2026-05-05,First Ceasefire,0,2,0,0,0,17,80.95238095238095,307.42748091603056,99.4910941475827,0,0,0,0,0,0,3125,2208,3636.0,2696.0,4850000.0,583.0,0.2857142857142857,0,1
68,2026-05-06,First Ceasefire,1,1,1,0,0,17,80.95238095238095,307.44274809160305,99.49603498110132,0,0,0,0,0,0,3125,2208,3468.0,2700.0,4850000.0,583.0,0.2857142857142857,1,1
69,2026-05-07,First Ceasefire,0,2,0,0,0,17,80.95238095238095,307.4580152671756,99.50097581461993,0,0,0,31,0,31,3125,2239,3468.0,2727.0,4850000.0,583.0,0.2857142857142857,0,1
70,2026-05-08,First Ceasefire,2,7,2,0,0,17,80.95238095238095,307.4732824427481,99.50591664813854,0,0,0,11,0,11,3125,2250,3468.0,2727.0,4850000.0,585.0,0.5714285714285714,1,1
71,2026-05-09,First Ceasefire,1,2,0,0,0,17,80.95238095238095,307.48854961832063,99.51085748165717,0,0,0,24,0,24,3125,2274,3468.0,2783.0,4850000.0,586.0,0.375,1,1
72,2026-05-10,First Ceasefire,0,5,0,0,0,17,80.95238095238095,307.5038167938931,99.51579831517577,0,0,0,0,0,0,3125,2274,3468.0,2820.0,4250000.0,560.0,0.5,0,1
73,2026-05-11,First Ceasefire,2,1,0,0,1,18,85.71428571428571,307.51908396946567,99.52073914869439,0,0,0,49,0,49,3125,2323,3636.0,2869.0,4400000.0,254.0,0.375,1,1
74,2026-05-12,First Ceasefire,0,4,0,0,0,18,85.71428571428571,307.53435114503816,99.52567998221299,0,0,0,10,0,10,3125,2333,3636.0,2869.0,4400000.0,254.0,0.4444444444444444,0,1
75,2026-05-13,First Ceasefire,1,1,0,1,0,18,85.71428571428571,307.5496183206107,99.53062081573162,0,0,0,0,0,0,3125,2333,3636.0,2869.0,4400000.0,254.0,0.2857142857142857,1,1
76,2026-05-14,First Ceasefire,0,2,0,0,0,18,85.71428571428571,307.5648854961832,99.53556164925023,0,0,0,33,0,33,3125,2366,3636.0,2915.0,4400000.0,254.0,0.2857142857142857,0,1
77,2026-05-15,First Ceasefire,1,0,0,0,0,18,85.71428571428571,307.58015267175574,99.54050248276886,0,0,0,0,0,0,3125,2366,3636.0,2908.0,4400000.0,254.0,0.16666666666666666,1,1
78,2026-05-16,First Ceasefire,0,0,0,0,0,18,85.71428571428571,307.59541984732823,99.54544331628745,0,0,0,0,0,0,3125,2366,3636.0,2869.0,4400000.0,254.0,0.0,0,0
79,2026-05-17,First Ceasefire,2,3,0,1,0,18,85.71428571428571,307.6106870229008,99.55038414980608,0,0,0,5,0,5,3125,2371,3636.0,2901.0,4600000.0,254.0,0.5,1,1
80,2026-05-18,First Ceasefire,2,1,0,1,0,18,85.71428571428571,307.62595419847327,99.55532498332468,0,0,0,2,0,2,3125,2373,3636.0,3020.0,4600000.0,465.0,0.375,1,1
81,2026-05-19,First Ceasefire,2,2,0,1,0,18,85.71428571428571,307.6412213740458,99.56026581684331,0,0,0,0,0,0,3125,2373,3636.0,3020.0,4600000.0,465.0,0.4444444444444444,1,1
82,2026-05-20,First Ceasefire,1,0,0,1,0,18,85.71428571428571,307.6564885496183,99.56520665036192,0,0,0,0,0,0,3125,2373,3636.0,3020.0,4600000.0,465.0,0.16666666666666666,1,1
83,2026-05-21,First Ceasefire,0,0,0,0,0,18,85.71428571428571,307.67175572519085,99.57014748388053,0,0,0,31,0,31,3125,2404,3636.0,3073.0,4600000.0,465.0,0.0,0,0
84,2026-05-22,First Ceasefire,1,0,0,1,0,18,85.71428571428571,307.68702290076334,99.57508831739914,0,0,0,2,0,2,3125,2406,3636.0,3075.0,4600000.0,587.0,0.16666666666666666,1,1
85,2026-05-23,First Ceasefire,2,2,0,0,0,18,85.71428571428571,307.7022900763359,99.58002915091777,0,0,0,0,1,1,3125,2406,3636.0,3075.0,4600000.0,587.0,0.4444444444444444,1,1
86,2026-05-24,First Ceasefire,0,3,0,0,0,18,85.71428571428571,307.7175572519084,99.58496998443637,0,0,0,0,0,0,3125,2406,3636.0,3075.0,4600000.0,587.0,0.25,0,1
87,2026-05-25,First Ceasefire,4,4,0,4,0,18,85.71428571428571,307.7328244274809,99.58991081795499,0,0,0,110,0,110,3125,2516,3636.0,3185.0,4600000.0,586.0,0.625,1,1
88,2026-05-26,First Ceasefire,1,2,0,1,0,18,85.71428571428571,307.7480916030534,99.59485165147359,0,3,0,34,0,37,3128,2550,3468.0,3185.0,1100000.0,200.0,0.25,1,1
89,2026-05-27,First Ceasefire,1,4,0,1,0,18,85.71428571428571,307.76335877862596,99.59979248499222,0,0,0,31,0,31,3128,2581,3468.0,3269.0,1200000.0,200.0,0.36363636363636365,1,1
90,2026-05-28,First Ceasefire,2,3,0,2,0,18,85.71428571428571,307.77862595419845,99.60473331851082,0,0,0,3,1,4,3128,2584,3468.0,3269.0,1200000.0,200.0,0.5714285714285714,1,1
91,2026-05-29,First Ceasefire,0,0,0,0,0,18,85.71428571428571,307.793893129771,99.60967415202944,0,0,0,16,0,16,3128,2600,3468.0,3269.0,1200000.0,200.0,0.0,0,0
92,2026-05-30,First Ceasefire,1,1,0,1,0,18,85.71428571428571,307.80916030534354,99.61461498554807,0,0,0,31,1,32,3128,2631,3468.0,3300.0,1200000.0,200.0,0.4444444444444444,1,1
93,2026-05-31,First Ceasefire,1,2,0,1,0,18,85.71428571428571,307.82442748091603,99.61955581906668,0,0,0,112,0,112,3128,2743,3468.0,3412.0,1200000.0,200.0,0.4,1,1
94,2026-06-01,First Ceasefire,0,3,0,0,1,19,90.47619047619048,307.8396946564886,99.6244966525853,0,0,0,0,0,0,3128,2743,3468.0,3412.0,1200000.0,200.0,0.375,0,1
95,2026-06-02,First Ceasefire,2,1,0,1,0,19,90.47619047619048,307.85496183206106,99.6294374861039,0,0,0,21,0,21,3128,2764,3468.0,3433.0,1200000.0,200.0,0.375,1,1
96,2026-06-03,First Ceasefire,2,3,1,1,0,19,90.47619047619048,307.8702290076336,99.63437831962253,0,0,0,5,0,5,3128,2769,3468.0,3473.0,1200000.0,200.0,0.4,1,1
97,2026-06-04,First Ceasefire,1,2,0,0,0,19,90.47619047619048,307.8854961832061,99.63931915314113,0,0,0,0,0,0,3128,2769,3468.0,3473.0,1200000.0,200.0,0.25,1,1
98,2026-06-05,First Ceasefire,2,3,0,2,0,19,90.47619047619048,307.90076335877865,99.64425998665975,0,0,0,0,0,0,3128,2769,3468.0,3473.0,1200000.0,200.0,0.5,1,1
99,2026-06-06,First Ceasefire,0,2,0,0,0,19,90.47619047619048,307.91603053435114,99.64920082017835,0,0,0,3,0,3,3128,2772,3468.0,3593.0,1200000.0,200.0,0.2857142857142857,0,1
100,2026-06-07,First Ceasefire,1,0,0,0,0,19,90.47619047619048,307.9312977099237,99.65414165369698,0,0,0,0,0,0,3128,2772,3468.0,3593.0,1200000.0,200.0,0.16666666666666666,1,1
101,2026-06-08,First Ceasefire,2,1,1,0,0,19,90.47619047619048,307.9465648854962,99.6590824872156,0,0,0,0,2,2,3128,2772,3468.0,3593.0,1200000.0,200.0,0.4444444444444444,1,1
102,2026-06-09,First Ceasefire,1,1,0,1,0,19,90.47619047619048,307.9618320610687,99.66402332073422,0,0,0,0,0,0,3128,2772,3468.0,3593.0,1200000.0,200.0,0.4444444444444444,1,1
103,2026-06-10,First Ceasefire,2,4,1,0,0,19,90.47619047619048,307.9770992366412,99.66896415425282,0,0,0,0,0,0,3128,2772,3468.0,3593.0,1200000.0,200.0,0.38461538461538464,1,1
104,2026-06-11,First Ceasefire,1,1,1,0,0,19,90.47619047619048,307.99236641221376,99.67390498777144,0,0,0,0,0,0,3128,2772,3468.0,3696.0,1200000.0,200.0,0.4444444444444444,1,1
105,2026-06-12,First Ceasefire,0,1,0,0,0,19,90.47619047619048,308.00763358778624,99.67884582129005,0,0,0,0,0,0,3128,2772,3468.0,3696.0,1200000.0,200.0,0.16666666666666666,0,1
106,2026-06-13,First Ceasefire,0,1,0,0,0,19,90.47619047619048,308.0229007633588,99.68378665480867,0,0,0,0,0,0,3128,2772,3468.0,3756.0,1200000.0,200.0,0.16666666666666666,0,1
107,2026-06-14,First Ceasefire,1,1,0,0,0,19,90.47619047619048,308.0381679389313,99.68872748832727,0,0,0,3,0,3,3128,2775,3468.0,3783.0,1200000.0,200.0,0.2857142857142857,1,1
108,2026-06-15,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.0534351145038,99.69366832184589,0,0,0,0,0,0,3128,2775,3468.0,3783.0,1200000.0,200.0,0.0,0,0
109,2026-06-16,First Ceasefire,0,1,0,0,0,19,90.47619047619048,308.0687022900763,99.69860915536451,0,0,0,14,0,14,3128,2789,3468.0,3783.0,1200000.0,288.0,0.16666666666666666,0,1
110,2026-06-17,First Ceasefire,1,1,0,0,0,19,90.47619047619048,308.08396946564886,99.70354998888313,0,0,0,4,0,4,3128,2793,3468.0,3783.0,1200000.0,376.0,0.2857142857142857,1,1
111,2026-06-18,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.09923664122135,99.70849082240173,0,0,0,6,0,6,3128,2799,3468.0,3801.0,1200000.0,376.0,0.0,0,0
112,2026-06-19,First Ceasefire,0,2,0,0,0,19,90.47619047619048,308.1145038167939,99.71343165592036,0,0,0,47,4,51,3128,2846,3468.0,3819.0,1200000.0,376.0,0.2857142857142857,0,1
113,2026-06-20,First Ceasefire,0,2,0,0,0,19,90.47619047619048,308.1297709923664,99.71837248943896,0,0,0,7,0,7,3128,2853,3468.0,3837.0,1200000.0,376.0,0.2857142857142857,0,1
114,2026-06-21,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.14503816793894,99.7233133229576,0,0,0,0,0,0,3128,2853,3468.0,3904.6,1200000.0,376.0,0.0,0,0
115,2026-06-22,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.1603053435114,99.7282541564762,0,0,0,0,0,0,3128,2853,3468.0,3972.2,1200000.0,376.0,0.0,0,0
116,2026-06-23,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.17557251908397,99.73319498999481,0,0,0,0,0,0,3128,2853,3468.0,4039.8,1200000.0,376.0,0.0,0,0
117,2026-06-24,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.19083969465646,99.73813582351342,0,0,0,0,0,0,3128,2853,3468.0,4107.4,1200000.0,376.0,0.0,0,0
118,2026-06-25,First Ceasefire,0,3,0,0,0,19,90.47619047619048,308.206106870229,99.74307665703205,0,0,0,2,0,2,3128,2855,3468.0,4175.0,1200000.0,376.0,0.375,0,1
119,2026-06-26,First Ceasefire,2,0,0,1,0,19,90.47619047619048,308.22137404580155,99.74801749055067,0,0,0,1,0,1,3128,2856,3468.0,4175.6,1200000.0,376.0,0.125,1,1
120,2026-06-27,First Ceasefire,2,1,1,0,0,19,90.47619047619048,308.23664122137404,99.75295832406927,0,0,0,1,0,1,3128,2857,3468.0,4176.2,1200000.0,376.0,0.5454545454545454,1,1
121,2026-06-28,First Ceasefire,0,1,0,0,0,19,90.47619047619048,308.2519083969466,99.7578991575879,0,0,0,1,0,1,3128,2858,3468.0,4176.8,1200000.0,376.0,0.16666666666666666,0,1
122,2026-06-29,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.2671755725191,99.7628399911065,0,0,0,0,0,0,3128,2858,3468.0,4177.4,1200000.0,376.0,0.0,0,0
123,2026-06-30,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.2824427480916,99.76778082462512,0,0,0,0,0,0,3128,2858,3468.0,4178.0,1200000.0,376.0,0.0,0,0
124,2026-07-01,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.2977099236641,99.77272165814372,0,0,0,0,0,0,3128,2858,3468.0,4198.5,1200000.0,376.0,0.0,0,0
125,2026-07-02,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.31297709923666,99.77766249166235,0,0,0,41,0,41,3128,2899,3468.0,4219.0,1200000.0,376.0,0.0,0,0
126,2026-07-03,First Ceasefire,0,1,0,0,0,19,90.47619047619048,308.32824427480915,99.78260332518096,0,0,0,41,0,41,3128,2940,3468.0,4239.5,1200000.0,376.0,0.16666666666666666,0,1
127,2026-07-04,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.3435114503817,99.78754415869957,0,0,0,41,0,41,3128,2981,3468.0,4260.0,1200000.0,376.0,0.0,0,0
128,2026-07-05,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.3587786259542,99.79248499221818,0,0,0,0,0,0,3128,2981,3468.0,4280.5,1200000.0,376.0,0.0,0,0
129,2026-07-06,First Ceasefire,0,0,0,0,0,19,90.47619047619048,308.37404580152673,99.79742582573681,0,0,0,0,0,0,3128,2981,3468.0,4301.0,1200000.0,376.0,0.0,0,0
130,2026-07-07,Resumption,0,2,0,0,0,19,90.47619047619048,308.3893129770992,99.80236665925541,0,0,0,0,0,0,3128,2981,3468.0,4303.5,1200000.0,376.0,0.2857142857142857,0,1
131,2026-07-08,Resumption,9,4,2,7,0,19,90.47619047619048,308.40458015267177,99.80730749277403,1,8,0,1,0,10,3137,2982,3468.0,4306.0,1200000.0,376.0,0.6521739130434783,1,1
132,2026-07-09,Resumption,1,0,0,1,0,19,90.47619047619048,308.41984732824426,99.81224832629263,0,3,0,0,0,3,3140,2982,3468.0,4308.5,1200000.0,376.0,0.4444444444444444,1,1
133,2026-07-10,Resumption,0,0,0,0,0,19,90.47619047619048,308.4351145038168,99.81718915981126,0,0,0,0,0,0,3140,2982,3468.0,4311.0,1200000.0,376.0,0.0,0,0
134,2026-07-11,Resumption,0,0,0,0,0,19,90.47619047619048,308.4503816793893,99.82212999332987,0,0,0,0,0,0,3140,2982,3468.0,4313.5,1200000.0,376.0,0.0,0,0
135,2026-07-12,Resumption,4,8,1,3,0,19,90.47619047619048,308.46564885496184,99.82707082684848,2,0,0,0,0,2,3142,2982,3468.0,4316.0,1200000.0,376.0,0.6,1,1
136,2026-07-13,Resumption,7,7,1,6,0,19,90.47619047619048,308.48091603053433,99.83201166036709,2,0,0,0,0,2,3144,2982,3468.0,4318.5,1200000.0,376.0,0.625,1,1
137,2026-07-14,Resumption,7,2,4,3,0,19,90.47619047619048,308.4961832061069,99.83695249388572,1,0,0,0,0,1,3145,2982,3468.0,4321.0,1200000.0,376.0,0.5238095238095238,1,1
138,2026-07-15,Resumption,2,0,1,1,0,19,90.47619047619048,308.51145038167937,99.84189332740432,0,0,0,0,0,0,3145,2982,3468.0,4321.0,1200000.0,376.0,0.6428571428571429,1,1
