variable_name,variable_label,variable_type,valid_values,pct_non_null,missing_code,source_domain,notes
infrastructure_damage_count,Infrastructure Damage Count,integer,1 – 443,0.2%,Not applicable (non-infrastructure event),infrastructure.json,"Numeric count of damaged facilities. Parsed from text (e.g., '29+' → 29). Minimums; actual totals may be higher."
snapshot_brent,Daily Snapshot: Brent Crude,float,71 – 118,2.6%,Not available for this day (weekend/holiday or not reported),hero-stats.json,Brent crude price (USD/bbl) from daily aggregate snapshot. NULL on non-trading days.
snapshot_wti,Daily Snapshot: WTI Crude,float,66.5 – 115,2.6%,Not available for this day,hero-stats.json,WTI crude price (USD/bbl) from daily aggregate snapshot.
snapshot_gas,Daily Snapshot: US Gas Price,float,2.98 – 4.56,2.4%,Not available for this day,hero-stats.json,US national average gasoline price (USD/gallon). Reported intermittently.
snapshot_sp500,Daily Snapshot: S&P 500,float,6344 – 7786,2.5%,Not available for this day,hero-stats.json,S&P 500 index close. NULL on weekends and holidays.
snapshot_daily_cost_millions,Daily Snapshot: Est. Daily US Cost,float,85 – 3000,2.7%,Not available for this day,hero-stats.json,Estimated daily US operational cost in millions USD. Based on Pentagon and CSIS anchor points with interpolation.
snapshot_total_cost_billions,Daily Snapshot: Est. Cumulative Cost,float,3 – 75.6,2.5%,Not available for this day,hero-stats.json,Cumulative estimated US cost in billions USD since Feb 28.
snapshot_targets_struck,Daily Snapshot: Targets Struck,float,1.3e+04 – 3.591e+04,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative US/Israeli targets struck. Reported at irregular intervals by CENTCOM/IDF.
snapshot_us_kia,Daily Snapshot: US KIA (cumulative),float,0 – 18,2.7%,Not available for this day,hero-stats.json,"Cumulative US military killed in action. NOTE: this is CUMULATIVE, unlike daily casualty reports which are daily estimates."
snapshot_us_wia,Daily Snapshot: US WIA (cumulative),float,0 – 687,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative US military wounded in action.
snapshot_iranian_killed,Daily Snapshot: Iranian Killed (cumulative),float,1500 – 9226,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative Iranian killed. Figures from Red Crescent/HRANA — independently difficult to verify.
snapshot_lebanese_killed,Daily Snapshot: Lebanese Killed (cumulative),float,720 – 4321,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative Lebanese killed (all factions). Source: Lebanese Health Ministry.
snapshot_displaced,Daily Snapshot: Displaced Persons (cumulative),float,8.5e+05 – 7.8e+06,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative displaced persons across all affected countries.
snapshot_flights_cancelled,Daily Snapshot: Flights Cancelled (cumulative),float,-1 – 3.1e+05,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative commercial flights cancelled due to conflict.
snapshot_children_killed,Daily Snapshot: Children Killed (cumulative),float,125 – 587,2.3%,Not available — reported intermittently,hero-stats.json,Cumulative children killed across Iran and Lebanon. Figures from HRANA/Red Crescent.
timeline_category_raw,Timeline Source Category (verbatim),string,,22.8%,Not applicable (non-timeline event),timeline-events.json,"The exact, unmodified `category` value from timeline-events.json. event_domain/event_type are derived from this via the documented v1.1 mapper (see CHANGELOG); the raw value is preserved so researchers can re-derive an alternative coding."
snapshot_nasdaq,Daily Snapshot: Nasdaq Composite,float,2.493e+04 – 2.709e+04,0.7%,Not available for this day (weekend/holiday or not reported),hero-stats.json,Nasdaq Composite index from the daily aggregate snapshot. Field added to hero-stats history after Day 30; NULL on non-trading days and for earlier days where not recorded.
snapshot_dow,Daily Snapshot: Dow Jones Industrial Avg,float,4.992e+04 – 5.404e+04,0.7%,Not available for this day,hero-stats.json,Dow Jones Industrial Average from the daily aggregate snapshot. Added after Day 30; NULL where not recorded.
snapshot_sp500_change_pct,Daily Snapshot: S&P 500 Daily % Change,float,-2.64 – 1.75,0.7%,Not available for this day,hero-stats.json,Reported daily percentage change in the S&P 500 from the snapshot. Added after Day 30; NULL where not recorded.
